id,segment,current brand,brand,brand,brand,brand,brand,brand,brand,brand,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,term,term,term,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,range,range,range,range,range,charge,charge,charge,charge,charge,energy,energy,vehicle_type,vehicle_type
id,segment,current brand,Audi,Chevrolet,Jaguar,Kia,Nissan,Tesla,Toyota,VW,120,200,250,400,500,750,1000,1250,2000,4000,6000,8000,10000,24,36,48,20000,30000,40000,80000,100000,20,40,80,180,300,3,10,50,100,160,Electric Vehicle,Plug-in Hybrid,Sedan,SUV
1,Millenial,Tesla,-0.4283036907791288,-0.7319553070894849,-0.8245516655883548,-0.9874960738835982,-0.20747665061261455,4.729969691931368,-0.6627687276423143,-0.8874175763358726,4.4720614048834015,3.4702869722741734,3.1731470353132583,1.2383617587010756,0.9112492900440046,-0.7760991261622818,-5.32987803186405,-7.159129303189582,0.16501791669739943,0.08996472441316028,0.012964379931001108,-0.09668525102368442,-0.17126177001787646,0.7726421485868118,-0.038327406570125344,-0.7343147420166867,-1.660559971700975,-1.2231014586951383,-0.5508116941631722,1.259340479068411,2.175132645490875,-0.5764204716857391,-0.4734512955665594,-0.2344988497017269,0.34289908869664165,0.9414715282573833,-0.20712630717569736,-0.18295808821743353,-0.045351633333507,0.1384557943848009,0.29698023434183707,-1.4128506512725147,1.4128506512725147,-0.7981065531742442,0.7981065531742442
2,Millenial,Tesla,-0.9180484846147027,-0.8017561943188746,-0.6931874356419425,-0.9193409201275965,-0.9076150008550957,5.233929326522746,-0.4118967469919135,-0.5820845439726203,2.027258923503692,1.6733768255605148,1.4380121554421361,0.9510110455681884,0.22566815685572683,-0.816622822345094,-1.781454302517922,-3.7172499820672407,0.25888210651440613,0.12439742389427716,0.007965124956809455,-0.14303011713385877,-0.2482145382316338,0.28360772505196724,-0.05098116908408945,-0.2326265559678774,-0.8862878106113511,-0.5384082943899495,-0.2749086812515096,0.6197867991148109,1.079817987137999,-1.1722518054481117,-0.9598860604390149,-0.4759579823636234,0.6372239937888755,1.9708718544618746,-0.6400863375779848,-0.5675199033013008,-0.15974186635450027,0.4082058544932601,0.9591422527405258,-0.22706132823004432,0.22706132823004432,0.062245887746075645,-0.062245887746075645
3,Millenial,Chevrolet,-0.6141567638962347,-0.7878598691051126,-1.0318640920494313,-0.645472854738825,-0.45705829808871223,4.205684868025627,-0.8329168429947099,0.16364385284739869,7.680218162970315,5.558472473819773,5.3285577593404,1.7396674582169274,0.6003592939665108,-2.191551821182127,-6.340255681980095,-12.375467645151703,0.12966520367951256,0.07397600505754617,-0.005912679212427302,-0.035422092372461994,-0.16230643715216964,0.7968023085830749,0.060105977965120516,-0.8569082865481956,-1.2160678118771793,-0.8838646055825945,-0.4914548008262154,0.9493533400588101,1.642033878227178,-0.6530792814475134,-0.5267338921872791,-0.28869532542930865,0.3337918366452507,1.1347166624188505,-0.5663268719352907,-0.4975879675148519,-0.11685413947517614,0.3064657957530944,0.8743031831722242,-0.725239617815695,0.725239617815695,1.3193248217495408,-1.3193248217495408
4,Millenial,Tesla,-0.34119869390856283,0.5365841926648134,-1.0079358852285285,-1.036534020529184,0.862378592357772,0.5911065359521952,-0.14435832949149996,0.539957608182994,2.4571570298346295,1.8990801604122678,0.9903996301704576,1.0153750197251918,0.4694873370775845,-0.3585730803954581,-1.445747466884887,-5.027178629939784,0.4782348004405925,0.27815261426226723,-0.05243163847490173,-0.2672667889103758,-0.436688987317582,0.4196062629546391,-0.10317241103804209,-0.31643385191659745,-0.993747588835771,-0.7616402661315632,-0.35771429311171743,0.8341538913934781,1.2789482566855732,-0.6426359508596582,-0.5298967675696753,-0.3049432814607786,0.2713317821555077,1.2061442177346042,-0.4611631653270538,-0.4122286327134478,-0.1224710381916761,0.2855499548343787,0.7103128813977991,-1.0840397508075506,1.0840397508075506,1.44594920695807,-1.44594920695807
5,Millenial,Tesla,0.866997388614533,-0.43875514515514435,-1.1851572282085714,-1.190629016237818,-0.9783382599561159,3.848196618790763,-1.0338631067089357,0.1115487488612883,6.569399805008402,5.426771208497169,5.212732326943684,2.5466055099269544,1.7820401737784826,-4.1539421437794815,-7.289911024865665,-10.093695855509543,0.4462815543484121,0.2800805081187788,-0.11001247289223781,-0.21744727280282328,-0.39890231677212973,0.526969396521799,0.1048988966331641,-0.6318682931549631,-1.7501747553504834,-1.17775590615809,-0.7324211227355619,1.4564678646829137,2.203883919561221,-1.0968871360322225,-0.9022368500514932,-0.4967940277491222,0.5849277293288984,1.9109902845039386,-0.5061171414735193,-0.4461312260098696,-0.1278718066574877,0.28851210339050426,0.7916080707503725,-0.8567929399201446,0.8567929399201446,-1.641158192505817,1.641158192505817
6,Millenial,Tesla,-1.0116399275957262,-0.26313436781872035,-0.22871169424081061,-0.5954851361880478,-0.2490469623088869,3.6663267845625302,-0.500305825624405,-0.8180028707859346,2.846448244150329,2.1763540351972397,1.9042806954433453,0.5745643976114319,0.5100242119866998,-1.1377547967768118,-1.930677679795397,-4.9432391078168365,0.24759726365017343,0.08895389865941261,-0.012251620682806552,-0.1338969519216569,-0.19040258970512253,0.2823973161721285,-0.011251655978329334,-0.27114566019379893,-2.426346793864214,-1.502660174981743,-0.8994636658630206,2.3585639824669666,2.4699066522420097,-0.7127040881757446,-0.5741430498358346,-0.3581128443299896,0.3843446353933806,1.2606153469481884,-0.3641309879213273,-0.3238429399909358,-0.08731179602283834,0.21092397353748804,0.5643617503976135,-0.0904672893459666,0.0904672893459666,0.043164516047757284,-0.043164516047757284
7,Millenial,Chevrolet,-0.4560313844206151,-0.8866772440723252,-0.16581539715045235,-1.1007162806327775,-0.8547517468358709,3.519722040403671,1.0296213440252449,-1.0853513313168752,4.899797693932295,3.752454864422291,2.7691790365936377,0.9183859306661297,0.799964011838501,-3.0603404483322336,-3.45896747279561,-6.620473616325015,0.36254255728472845,0.17132454592690316,0.017343025829897052,-0.12762811865741408,-0.4235820103841149,0.9833693275094073,-0.13095060334819575,-0.8524187241612129,-0.5918890779884585,-0.41717473846244263,-0.22918968912290782,0.47703520551889256,0.7612183000549161,-0.7820412183714176,-0.6172131346271619,-0.32302516871122455,0.47978868484600345,1.2424908368638006,-0.6715952680364282,-0.5933458938456982,-0.14200670178153074,0.33152495950452376,1.0754229041591334,-1.2559534472688616,1.2559534472688616,-0.5637233235137098,0.5637233235137098
8,Millenial,Tesla,-0.705944850185985,-1.0630517410730542,-0.10894296583031027,-1.0810226896383306,-0.8267664776021619,3.7100929168943155,-0.017663221200723056,0.09329902863624961,2.953100526500876,2.625740566991251,1.860454977607624,1.1927371326815286,1.0182327283761854,-2.784558800067997,-2.2258942344651076,-4.63981289762436,0.38022869136766213,0.2160734503499176,0.048443541606499885,-0.19439187887926446,-0.450353804444815,0.45783307227997294,0.06651414444518333,-0.5243472167251564,-2.4824339354013425,-1.7706597576109915,-0.9347827327103397,1.9694060117857481,3.2184704139369242,-1.2877565542125733,-1.0151375210730151,-0.5285363195318196,0.7408460556948384,2.09058433912257,-0.5332047781967286,-0.4750339529745911,-0.13429625589376915,0.30078137470971744,0.8417536123553714,-1.4063305279512757,1.4063305279512757,1.103753206971129,-1.103753206971129
9,Millenial,Tesla,-0.9646930496345001,0.37319316286106186,-0.7593653557948578,-0.9809509462122044,-0.3634085838396457,1.5916323111654873,1.0364315843095007,0.06716087714515817,5.800815023267603,4.99626337869455,4.072572431289109,2.505112506506242,1.4569524623375143,-2.624526095613234,-4.0902531372151625,-12.11693656926663,0.24036851797943168,0.13981570399828588,-0.0026806767795258257,-0.1103554628204117,-0.2671480823777801,0.8501839200464447,-0.14584769279523568,-0.7043362272512095,-2.0592070510096887,-1.579246414109559,-0.8457990803855813,1.574313390526933,2.9099391549778963,-0.47433910229748977,-0.38174313638509466,-0.19339656426231105,0.29392639025558964,0.7555524126893057,-0.4171887236266046,-0.3705834655973282,-0.09996779684290996,0.23505029743615308,0.6526896886306894,-1.004223500632762,1.004223500632762,-2.438882949279667,2.438882949279667
