id,Baseline Brand,Baseline Product
1,Tesla,9
2,Tesla,9
3,Tesla,9
4,Chevrolet,2
5,Kia,4
6,Tesla,10
7,Tesla,9
8,Tesla,9
9,Kia,5
10,Tesla,11
11,Tesla,9
12,Kia,5
13,Chevrolet,2
14,Tesla,9
15,Kia,5
16,Tesla,9
17,Kia,4
18,Tesla,9
19,Audi,1
20,Toyota,12
21,Tesla,9
22,Kia,5
23,Tesla,9
24,Tesla,11
25,Kia,4
26,Tesla,9
27,Tesla,11
28,Tesla,9
29,Tesla,9
30,Chevrolet,2
31,Tesla,9
32,Tesla,9
33,Kia,4
34,Toyota,12
35,Nissan,8
36,Tesla,10
37,Tesla,9
38,Tesla,9
39,Kia,4
40,Nissan,8
41,Tesla,11
42,Tesla,9
43,Chevrolet,2
44,Jaguar,3
45,Tesla,11
46,Toyota,12
47,Kia,6
48,Tesla,11
49,Tesla,9
50,Tesla,9
51,Tesla,9
52,Nissan,8
53,Tesla,11
54,Tesla,11
55,Tesla,9
56,Kia,4
57,Kia,6
58,VW,13
59,Audi,1
60,Tesla,9
61,Nissan,7
62,Tesla,11
63,Kia,5
64,Tesla,9
65,Tesla,10
66,Tesla,9
67,Tesla,11
68,Nissan,7
69,Tesla,11
70,Kia,4
71,Tesla,9
72,Toyota,12
73,Tesla,9
74,Tesla,9
75,Kia,5
76,Kia,5
77,Tesla,9
78,Tesla,11
79,Tesla,10
80,Tesla,9
81,Tesla,11
82,Kia,4
83,Tesla,9
84,Toyota,12
85,Tesla,9
86,Toyota,12
87,Tesla,9
88,Jaguar,3
89,Tesla,9
90,Tesla,9
91,Tesla,11
92,Tesla,11
93,Audi,1
94,Kia,5
95,Tesla,9
96,Tesla,11
97,Tesla,10
98,Tesla,10
99,Tesla,9
100,Tesla,11
101,Tesla,9
102,Tesla,11
103,Tesla,9
104,Kia,5
105,Chevrolet,2
106,Tesla,9
107,Tesla,9
108,Tesla,10
109,Tesla,11
110,Tesla,9
111,Tesla,9
112,Tesla,10
113,Kia,5
114,Kia,4
115,Chevrolet,2
116,Tesla,11
117,Tesla,9
118,Tesla,10
119,Tesla,9
120,Tesla,9
121,Tesla,11
122,Chevrolet,2
123,Chevrolet,2
124,Toyota,12
125,Audi,1
126,Toyota,12
127,Audi,1
128,Tesla,11
129,Tesla,11
130,Toyota,12
131,Tesla,9
132,Tesla,10
133,Tesla,9
134,Kia,5
135,Tesla,10
136,Tesla,11
137,Toyota,12
138,Tesla,10
139,Tesla,9
140,Tesla,9
141,Audi,1
142,Chevrolet,2
143,Chevrolet,2
144,Toyota,12
145,Tesla,9
146,Tesla,11
147,Tesla,11
148,Tesla,10
149,Tesla,9
150,Tesla,9
151,Chevrolet,2
152,Tesla,11
153,Tesla,9
154,Tesla,10
155,Toyota,12
156,Tesla,9
157,Tesla,11
158,Audi,1
159,Chevrolet,2
160,Tesla,9
161,Chevrolet,2
162,Tesla,9
163,Tesla,9
164,Tesla,11
165,Tesla,11
166,Tesla,9
167,Kia,4
168,Tesla,9
169,Tesla,9
170,Tesla,11
171,Tesla,9
172,Tesla,9
173,Tesla,11
174,Tesla,9
175,Tesla,11
176,Tesla,10
177,Tesla,11
178,Toyota,12
179,Tesla,9
180,Tesla,10
181,Tesla,9
182,Toyota,12
183,Toyota,12
184,Tesla,9
185,Tesla,11
186,Kia,4
187,Chevrolet,2
188,Chevrolet,2
189,Tesla,11
190,Tesla,9
191,Tesla,9
192,Tesla,9
193,Tesla,9
194,Chevrolet,2
195,Chevrolet,2
196,Tesla,9
197,Tesla,9
198,Tesla,11
199,Tesla,9
200,Chevrolet,2
201,Tesla,9
202,Tesla,11
203,Audi,1
204,Tesla,11
205,Tesla,9
206,Tesla,9
207,Kia,5
208,Kia,5
209,Tesla,9
210,Nissan,8
211,Kia,4
212,Tesla,11
213,Tesla,11
214,Tesla,9
215,Kia,5
216,Toyota,12
217,Tesla,9
218,Audi,1
219,Toyota,12
220,Tesla,11
221,Tesla,11
222,Nissan,8
223,Tesla,9
224,Tesla,9
225,Tesla,9
226,Kia,5
227,Chevrolet,2
228,Tesla,10
229,Tesla,9
230,Chevrolet,2
231,Tesla,11
232,Tesla,9
233,Jaguar,3
234,Tesla,11
235,VW,13
236,Chevrolet,2
237,Nissan,7
238,Tesla,10
239,Tesla,11
240,Tesla,9
241,Kia,5
242,Tesla,11
243,Tesla,11
244,Kia,4
245,Tesla,11
246,Chevrolet,2
247,Tesla,11
248,Tesla,9
249,Tesla,11
250,Tesla,9
251,Tesla,9
252,Tesla,10
253,Tesla,9
254,Toyota,12
255,Tesla,9
256,Tesla,9
257,Tesla,9
258,Tesla,11
259,Audi,1
260,Tesla,11
261,Tesla,10
262,Tesla,9
263,Tesla,10
264,Chevrolet,2
265,Tesla,9
266,Tesla,9
267,Tesla,9
268,Tesla,11
269,Tesla,10
270,Tesla,11
271,Chevrolet,2
272,Tesla,9
273,Tesla,9
274,Tesla,11
275,Tesla,11
276,Tesla,9
277,Kia,4
278,Tesla,9
279,Tesla,9
280,Tesla,9
281,Tesla,11
282,Chevrolet,2
283,Tesla,11
284,Tesla,11
285,Tesla,9
286,Tesla,11
287,Chevrolet,2
288,Tesla,11
289,Tesla,9
290,Tesla,11
291,Tesla,10
292,Tesla,11
293,Audi,1
294,Nissan,8
295,Tesla,10
296,Tesla,11
297,Tesla,10
298,Chevrolet,2
299,Tesla,9
300,Tesla,10
301,Audi,1
302,Tesla,9
303,Tesla,9
304,Kia,4
305,Tesla,11
306,Chevrolet,2
307,Tesla,11
308,Tesla,11
309,Tesla,9
310,Tesla,9
311,Tesla,9
312,Nissan,8
313,Tesla,11
314,Chevrolet,2
315,Tesla,11
316,Tesla,9
317,Tesla,9
318,Tesla,11
319,Kia,5
320,Tesla,11
321,Kia,5
322,Tesla,9
323,Tesla,9
324,Tesla,10
325,Tesla,11
326,Tesla,9
327,Chevrolet,2
328,Nissan,8
329,Chevrolet,2
330,Tesla,9
331,Nissan,7
332,Toyota,12
333,Tesla,10
334,Tesla,9
335,Tesla,11
336,Kia,4
337,Nissan,8
338,Tesla,11
339,Tesla,11
340,Tesla,9
341,Nissan,8
342,Nissan,8
343,Kia,4
344,Kia,5
345,Tesla,9
346,Tesla,9
347,Tesla,9
348,Kia,4
349,Tesla,9
350,Tesla,11
351,Tesla,10
352,Tesla,9
353,Tesla,9
354,Tesla,9
355,Nissan,8
356,Kia,5
357,Tesla,11
358,Tesla,11
359,Tesla,9
360,Tesla,11
361,Nissan,7
362,Kia,5
363,Tesla,11
364,Nissan,8
365,Tesla,11
366,Tesla,9
367,Tesla,11
368,Toyota,12
369,Tesla,9
370,Tesla,9
371,Audi,1
372,Tesla,10
373,Tesla,9
374,Tesla,10
375,Tesla,11
376,Kia,4
377,Tesla,10
378,Tesla,11
379,Tesla,11
380,Kia,5
381,Tesla,11
382,Tesla,11
383,Tesla,9
384,Tesla,11
385,Chevrolet,2
